,Nom,Adresse,Téléphone
0,La Civette,53 Rue Du General De Gaul,02 43 66 13 56
1,Robinet Françoise,12 Ter place Eglise,02 43 37 33 94
2,Guellier Michel,50 rue Victor Boissel,02 43 53 27 77
3,Guillard,27 Rue Maurice Courcelle,09 62 08 62 97
4,Le Fluvial,13 Quai Waiblingen,02 43 04 15 02
5,Dary Jean-Marie,1 Rue Clouard,02 43 05 16 08
6,L’escale,15 Avenue Bretagne,02 99 97 92 06
7,Beauchef Alain,29 avenue Tours,02 43 56 35 74
8,L’Univers,115 Avenue Robert Buron,02 43 53 17 66
9,La Ferme de Bras,271 rue de Bruxelles,02 43 04 36 29
10,Colas Chantal,11 Rue Des Forges,06 18 68 18 27
11,Cerbelle Marie-Thérèse,Cormiers,02 43 77 17 90
12,Hibou Nathalie,16 Place Collège,02 33 38 34 45
13,Bar de l’entracte,7 place Théatre,02 99 99 98 33
14,Le Morannais,43 Grande Rue,02 41 42 22 00
15,Le St Rigomer,11 rue Saint-Rigomer,02 43 88 67 67
16,Le Vincennes,47 Rue Gambetta,09 71 53 85 59
17,Snc Amcip,5 Rue Mée,02 99 75 35 71
18,Forget Fabrice,5 Place Eglise,09 66 44 11 79
19,Hocde Véronique,32 Rue Nantes,09 65 20 63 92
20,Viveco Bar des Sports,2 Place Mairie,09 63 58 20 95
21,Mancel Marie-Therese,2 Boulevard Charles Tillon,02 99 99 38 93
22,Le Chiquito,5 Rue Libération,02 43 70 60 69
23,Le Marchix,8 Place Marchix,02 99 99 05 26
24,Le Sporting,Place de l'Eglise,02 41 42 61 49
25,Au Petit Nègre,37 Grande Rue,02 33 26 00 26
26,L’Europe,7 Rue Du Guesclin,02 99 96 06 93
27,Le Généteil,1 Avenue Mar Foch,02 43 70 43 97
28,Bar du Bout du Monde,2 Avenue Carnot,02 43 07 23 70
29,Bar-Tabac La Verrerie,44 Avenue Verrerie,09 67 07 03 41
30,Bar des Sports,6 Place Albert Liébault,02 43 92 98 69
31,Caro-gui,12 Avenue Du Mal Joffre,02 43 06 09 15
32,Petithomme,Le Bourg,02 33 28 15 22
33,Le Gambetta,5 Rue Gambetta,02 41 92 22 26
34,Gaudin Nina,6 Place Aristide Briand,02 41 92 30 15
35,Jahier Stéphane,49 rue Dominique Godivier,02 43 06 90 26
36,Johan Marie-France,11 Bis rue Alain d'argentré,02 99 96 71 31
37,Legeay Thierry,10 rue Nationale,09 65 35 06 43
38,Bar des Sports,1 Rue Paris Jallobert,02 99 76 97 06
39,Brunes ou Blondes,19 Rue Théophile Rémond,02 99 62 62 58
40,La Rocade,136 rue Forêt,02 99 99 13 92
41,Fontenoy Le,33 Place Champ De Foire,02 43 95 00 06
42,SNC Malabry,34 Rue St Nicolas,09 61 27 10 38
43,Menguy Laurent,14 Rue Paris,02 99 75 02 14
44,Maison de la Presse,16 Place Marché,02 33 38 32 15
45,La Plume d’Or,22 Rue Normand D Etrelles,02 99 96 62 01
46,Proust,69 Rue Du Mans,02 43 95 76 93
47,Robert Geneviève,5 Rue Liberté,02 99 75 00 42
48,Soulas Didier,25 Rue 70ème Ri,02 99 75 30 46
49,Tabac le Cormier,13 rue Ecu,02 99 39 12 45
50,Le Narval,40 Grande Rue,02 43 94 22 54
51,Lelandais Mireille,57 rue Forêt,02 99 99 49 07
52,Jourdin Dominique,81 Rue Pinterie,02 99 94 58 02
53,Le Balto,24 Rue Abbé Chevallier,02 43 95 40 94
54,Tabac de Montsort,60 Rue Mans,02 33 26 16 27
55,Heuzé Laurent,13 Rue Gare,02 33 38 51 95
56,Lambert,1 Rue Mar Foch,02 33 38 65 59
57,La Civette du Panorama,place St Julien,02 33 37 35 43
58,Béguin Jacky,19 Rue Bourdais,02 43 06 48 75
59,Le Kortès,6 Rue Victor Fourcault,02 43 06 75 79
60,Souty Marie-Charlotte,10 Rue St Germain,02 33 48 27 43
61,Simonneaux Pierre Jean Marie,13 rue Ecu,09 65 11 93 64
62,Le Domingo,219 rue Paris,02 43 49 90 39
63,Cocaud Eric,21 Place Charles De Gaulle,02 40 28 06 97
64,Le Katriso,18 rue Nationale,02 99 98 81 00
65,Le Chiquito,30 Place Marché,09 61 23 16 51
66,Au Fil de l’Eau,2 Place Vincent Van Gogh,02 99 95 13 28
67,Chouteau Marinette,Centre Cial Principal,09 64 47 98 78
68,Dégremont Eric,16 place Gén Patton,02 33 58 49 31
69,Le Balto,34 rue Nantes,02 99 99 01 30
70,Trolet Jean Marc Stephane,6 Allée St Pierre,02 23 27 20 54
71,Le Babartabac,17 Rue De La Mairie,02 43 88 52 40
72,L’As de Trêfle,21 Rue St Jacques,02 33 48 33 96
73,Batteux Muriel,2 Place Eglise,02 43 47 25 62
74,Damoiseaux Franck,5 Place Isaac De La Roche,02 43 77 35 17
75,Cloquet Patrick,56 Avenue Nationale,02 43 25 42 02
76,Le Sporting,11 Place Eglise,02 41 42 61 49
77,Suhard,9 Rue Gén Leclerc,09 60 40 03 24
78,Durepaire Jean-Michel,7 Place Mairie,02 41 42 86 69
79,Demaret Yves,1 Centre Cial carrefour,02 33 26 35 06
80,Monharoul Christine,14 rue Paul Prime,02 99 47 88 36
81,Le Vegas,Bourg,02 43 45 72 93
82,Corbisier Philippe,rue Eglise,02 33 66 01 41
83,Brosset Michel,10 Rue Commerce,02 41 61 44 97
84,Venault,36 boulevard République,09 62 25 10 99
85,Viéville Pascal,Centre Cial Perrières,02 43 80 38 46
86,Le Relais de la Mazure,Le Bourg Les Biards,02 33 48 02 11
87,Mangin Jean Luc,Les Hautes Métairies,02 43 80 40 01
88,Le Greenwich,20 Rue Couchot,02 43 94 00 73
89,Prod’Homme Micheline,15 Rue De La Dauversiere,02 43 94 23 17
90,Braud,5 Rue Haut Beauvais,02 40 28 81 48
91,Boudvin Catherine,47 Rue Principale,02 43 46 58 03
92,Gauthier Nicole,3 Rue César Franck,02 40 81 15 83
93,Le Longchamps,16 Rue Montjaloux,02 33 27 81 25
94,Quenot Michel,20 place Gén de Gaulle,02 33 27 84 67
95,Aubril,22 rue Constitution,02 33 58 45 69
96,Le Saint Gaudens,4 Rue St Gaudens,02 33 58 05 88
97,Lescot,4 Place Littré,02 33 58 27 61
98,Hôtel Restaurant Alentel,3 Rue de la Pyramide,02 33 29 15 97
