"Symbol","Name","Sector"
"A","Agilent Technologies","Health Care"
"AAL","American Airlines Gp","Industrials"
"AAP","Advance Auto Parts Inc","Consumer Discretionary"
"AAPL","Apple Inc","Information Technology"
"ABBV","Abbvie Inc","Health Care"
"ABC","Amerisourcebergen Corp","Health Care"
"ABMD","Abiomed Inc","None"
"ABT","Abbott Laboratories","Health Care"
"ACN","Accenture Plc","Information Technology"
"ADBE","Adobe Systems Inc","Information Technology"
"ADI","Analog Devices","Information Technology"
"ADM","Archer Daniels Midland","Consumer Staples"
"ADP","Automatic Data Procs","Information Technology"
"ADS","Alliance Data Systems Corp","Information Technology"
"ADSK","Autodesk Inc","Information Technology"
"AEE","Ameren Corp","Utilities"
"AEP","American Electric Power Company","Utilities"
"AES","The Aes Corp","Utilities"
"AFL","Aflac Incorporated","Financials"
"AGN","Allergan Plc","Health Care"
"AIG","American International Group","Financials"
"AIV","Apartment Investment and Management","Real Estate"
"AIZ","Assurant Inc","Financials"
"AJG","Arthur J. Gallagher & CO","Financials"
"AKAM","Akamai Technologies","Information Technology"
"ALB","Albemarle Corp","Materials"
"ALGN","Align Technology","Health Care"
"ALK","Alaska Air Group","Industrials"
"ALL","Allstate Corp","Financials"
"ALLE","Allegion Plc","Industrials"
"ALXN","Alexion Pharm Inc","Health Care"
"AMAT","Applied Materials","Information Technology"
"AMCR","Amcor Plc","None"
"AMD","Adv Micro Devices","Information Technology"
"AME","Amtek Inc","Industrials"
"AMG","Affiliated Managers Group","Financials"
"AMGN","Amgen Inc","Health Care"
"AMP","Ameriprise Financial Services","Financials"
"AMT","American Tower Corp","Real Estate"
"AMZN","Amazon.com Inc","Consumer Discretionary"
"ANET","Arista Networks Inc","None"
"ANSS","Ansys Inc","Information Technology"
"ANTM","Anthem Inc","Health Care"
"AON","AON Plc","Financials"
"AOS","Smith [A.O.] Corp","Industrials"
"APA","Apache Corp","Energy"
"APD","Air Products and Chemicals","Materials"
"APH","Amphenol Corp","Information Technology"
"APTV","Aptiv Plc","Consumer Discretionary"
"ARE","Alexandria Real Estate Equities","Real Estate"
"ARNC","Arconic Inc","Industrials"
"ATO","Atmos Energy Corp","None"
"ATVI","Activision Blizzard","Information Technology"
"AVB","Avalonbay Communities","Real Estate"
"AVGO","Broadcom Ltd","Information Technology"
"AVY","Avery Dennison Corp","Materials"
"AWK","American Water Works","Utilities"
"AXP","American Express Company","Financials"
"AZO","Autozone","Consumer Discretionary"
"BA","Boeing Company","Industrials"
"BAC","Bank of America Corp","Financials"
"BAX","Baxter International Inc","Health Care"
"BBT","BB&T Corp","Financials"
"BBY","Best Buy CO","Consumer Discretionary"
"BDX","Becton Dickinson and Company","Health Care"
"BEN","Franklin Resources","Financials"
"BF.B","Brown Forman Inc Cl B","Consumer Staples"
"BHGE","Baker Hughes A Ge Co. Cl A","Energy"
"BIIB","Biogen Inc","Health Care"
"BK","Bank of New York Mellon Corp","Financials"
"BKNG","Booking Holdings Inc","Consumer Discretionary"
"BLK","Blackrock","Financials"
"BLL","Ball Corp","Materials"
"BMY","Bristol-Myers Squibb Company","Health Care"
"BR","Broadridge Financial Solutions Llc","None"
"BRK.B","Berkshire Hathaway Cl B","Financials"
"BSX","Boston Scientific Corp","Health Care"
"BWA","Borgwarner Inc","Consumer Discretionary"
"BXP","Boston Properties","Real Estate"
"C","Citigroup Inc","Financials"
"CAG","Conagra Brands Inc","Consumer Staples"
"CAH","Cardinal Health","Health Care"
"CAT","Caterpillar Inc","Industrials"
"CB","Chubb Ltd","Financials"
"CBOE","CBOE Global Markets Inc","Financials"
"CBRE","CBRE Group Inc","Real Estate"
"CBS","CBS Corp","Consumer Discretionary"
"CCI","Crown Castle International Corp","Real Estate"
"CCL","Carnival Corp","Consumer Discretionary"
"CDNS","Cadence Design Sys","Information Technology"
"CE","Celanese Corp","None"
"CELG","Celgene Corp","Health Care"
"CERN","Cerner Corp","Health Care"
"CF","Cf Industries Holdings","Materials"
"CFG","Citizens Financial Group Inc/Ri","Financials"
"CHD","Church & Dwight Company","Consumer Staples"
"CHRW","C.H. Robinson Ww","Industrials"
"CHTR","Charter Communicatio","Consumer Discretionary"
"CI","Cigna Corp","Health Care"
"CINF","Cincinnati Financial","Financials"
"CL","Colgate-Palmolive Company","Consumer Staples"
"CLX","Clorox Company","Consumer Staples"
"CMA","Comerica Inc","Financials"
"CMCSA","Comcast Corp A","Consumer Discretionary"
"CME","CME Group Inc","Financials"
"CMG","Chipotle Mexican Grill","Consumer Discretionary"
"CMI","Cummins Inc","Industrials"
"CMS","Cms Energy Corp","Utilities"
"CNC","Centene Corp","Health Care"
"CNP","Centerpoint Energy Inc","Utilities"
"COF","Capital One Financial Corp","Financials"
"COG","Cabot Oil & Gas Corp","Energy"
"COO","Cooper Companies","Health Care"
"COP","Conocophillips","Energy"
"COST","Costco Wholesale","Consumer Staples"
"COTY","Coty Inc","Consumer Staples"
"CPB","Campbell Soup Company","Consumer Staples"
"CPRI","Capri Holdings Ltd","None"
"CPRT","Copart Inc","None"
"CRM","Salesforce.com Inc","Information Technology"
"CSCO","Cisco Systems Inc","Information Technology"
"CSX","CSX Corp","Industrials"
"CTAS","Cintas Corp","Industrials"
"CTL","Centurylink","Telecommunication Services"
"CTSH","Cognizant Tech Sol","Information Technology"
"CTVA","Corteva Inc","None"
"CTXS","Citrix Systems Inc","Information Technology"
"CVS","CVS Corp","Consumer Staples"
"CVX","Chevron Corp","Energy"
"CXO","Concho Resources Inc","Energy"
"D","Dominion Resources","Utilities"
"DAL","Delta Air Lines Inc","Industrials"
"DD","Du Pont De.Nemours Inc","None"
"DE","Deere & Company","Industrials"
"DFS","Discover Financial Services","Financials"
"DG","Dollar General Corp","Consumer Discretionary"
"DGX","Quest Diagnostics Inc","Health Care"
"DHI","D.R. Horton","Consumer Discretionary"
"DHR","Danaher Corp","Health Care"
"DIS","Walt Disney Company","Consumer Discretionary"
"DISCA","Discovery Comm A","Consumer Discretionary"
"DISCK","Discovery Comm Inc","Consumer Discretionary"
"DISH","Dish Network Corp","Consumer Discretionary"
"DLR","Digital Realty Trust","Real Estate"
"DLTR","Dollar Tree Inc","Consumer Discretionary"
"DOV","Dover Corp","Industrials"
"DOW","Dow Inc","None"
"DRE","Duke Realty Corp","Real Estate"
"DRI","Darden Restaurants","Consumer Discretionary"
"DTE","Dte Energy Company","Utilities"
"DUK","Duke Energy Corp","Utilities"
"DVA","Davita Healthcare Partners Inc","Health Care"
"DVN","Devon Energy Corp","Energy"
"DXC","Dxc Technology Company","Information Technology"
"EA","Electronic Arts Inc","Information Technology"
"EBAY","Ebay Inc","Information Technology"
"ECL","Ecolab Inc","Materials"
"ED","Consolidated Edison Company of New York","Utilities"
"EFX","Equifax Inc","Industrials"
"EIX","Edison International","Utilities"
"EL","Estee Lauder Companies","Consumer Staples"
"EMN","Eastman Chemical Company","Materials"
"EMR","Emerson Electric Company","Industrials"
"EOG","Eog Resources","Energy"
"EQIX","Equinix Inc","Real Estate"
"EQR","Equity Residential","Real Estate"
"ES","Eversource Energy","Utilities"
"ESS","Essex Property Trust","Real Estate"
"ETFC","E*Trade Finl Corp","Financials"
"ETN","Eaton Corp","Industrials"
"ETR","Entergy Corp","Utilities"
"EVRG","Evergy Inc","None"
"EW","Edwards Lifesciences Corp","Health Care"
"EXC","Exelon Corp","Utilities"
"EXPD","Expeditors Intl","Industrials"
"EXPE","Expedia Group Inc","Consumer Discretionary"
"EXR","Extra Space Storage Inc","Real Estate"
"F","Ford Motor Company","Consumer Discretionary"
"FANG","Diamondback Energy","None"
"FAST","Fastenal Company","Industrials"
"FB","Facebook Inc","Information Technology"
"FBHS","Fortune Brands Home & Security","Industrials"
"FCX","Freeport-Mcmoran Inc","Materials"
"FDX","Fedex Corp","Industrials"
"FE","Firstenergy Corp","Utilities"
"FFIV","F5 Networks Inc","Information Technology"
"FIS","Fidelity National Information Services","Information Technology"
"FISV","Fiserv Inc","Information Technology"
"FITB","Fifth Third Bncp","Financials"
"FLIR","Flir Systems Inc","Information Technology"
"FLS","Flowserve Corp","Industrials"
"FLT","Fleetcor Technologies","None"
"FMC","FMC Corp","Materials"
"FOX","Fox Corp Cl B","Consumer Discretionary"
"FOXA","Fox Corp Cl A","Consumer Discretionary"
"FRC","First Republic Bank","None"
"FRT","Federal Realty Investment Trust","Real Estate"
"FTI","Technipfmc Plc","Energy"
"FTNT","Fortinet Inc","None"
"FTV","Fortive Corp","Industrials"
"GD","General Dynamics Corp","Industrials"
"GE","General Electric Company","Industrials"
"GILD","Gilead Sciences Inc","Health Care"
"GIS","General Mills","Consumer Staples"
"GL","Globe Life Inc.","None"
"GLW","Corning Inc","Information Technology"
"GM","General Motors Company","Consumer Discretionary"
"GOOG","Alphabet Cl C","Information Technology"
"GOOGL","Alphabet Cl A","Information Technology"
"GPC","Genuine Parts Company","Consumer Discretionary"
"GPN","Global Payments Inc","Information Technology"
"GPS","Gap Inc","Consumer Discretionary"
"GRMN","Garmin Ltd","Consumer Discretionary"
"GS","Goldman Sachs Group","Financials"
"GWW","W.W. Grainger","Industrials"
"HAL","Halliburton Company","Energy"
"HAS","Hasbro Inc","Consumer Discretionary"
"HBAN","Huntington Bcshs","Financials"
"HBI","Hanesbrands Inc","Consumer Discretionary"
"HCA","Hca Holdings Inc","Health Care"
"HCP","HCP Inc","Real Estate"
"HD","Home Depot","Consumer Discretionary"
"HES","Hess Corp","Energy"
"HFC","Hollyfrontier Corp","None"
"HIG","Hartford Financial Services Group","Financials"
"HII","Huntington Ingalls Industries","Industrials"
"HLT","Hilton Inc","Consumer Discretionary"
"HOG","Harley-Davidson Inc","Consumer Discretionary"
"HOLX","Hologic Inc","Health Care"
"HON","Honeywell International Inc","Industrials"
"HP","Helmerich & Payne","Energy"
"HPE","Hewlett Packard Enterprise Comp","Information Technology"
"HPQ","Hewlett-Packard Company","Information Technology"
"HRB","H&R Block","Financials"
"HRL","Hormel Foods Corp","Consumer Staples"
"HSIC","Henry Schein Inc","Health Care"
"HST","Host Marriott Financial Trust","Real Estate"
"HSY","Hershey Foods Corp","Consumer Staples"
"HUM","Humana Inc","Health Care"
"IBM","International Business Machines","Information Technology"
"ICE","Intercontinental Exchange","Financials"
"IDXX","Idexx Laboratories","Health Care"
"IEX","Idex Corp","None"
"IFF","International Flavors & Fragrances","Materials"
"ILMN","Illumina Inc","Health Care"
"INCY","Incyte Corp","Health Care"
"INFO","IHS Markit Ltd","Industrials"
"INTC","Intel Corp","Information Technology"
"INTU","Intuit Inc","Information Technology"
"IP","International Paper Company","Materials"
"IPG","Interpublic Group of Companies","Consumer Discretionary"
"IPGP","Ipg Photonics Corp","Information Technology"
"IQV","Iqvia Holdings Inc","Health Care"
"IR","Ingersoll-Rand Plc [Ireland]","Industrials"
"IRM","Iron Mountain Inc","Real Estate"
"ISRG","Intuitive Surg Inc","Health Care"
"IT","Gartner Inc","Information Technology"
"ITW","Illinois Tool Works Inc","Industrials"
"IVZ","Invesco Plc","Financials"
"JBHT","J B Hunt Transport","Industrials"
"JCI","Johnson Controls Intl","Industrials"
"JEC","Jacobs Engineering Group Inc","Industrials"
"JEF","Jefferies Financial Group Inc","None"
"JKHY","Jack Henry & Assoc","None"
"JNJ","Johnson & Johnson","Health Care"
"JNPR","Juniper Networks","Information Technology"
"JPM","JP Morgan Chase & CO","Financials"
"JWN","Nordstrom","Consumer Discretionary"
"K","Kellogg Company","Consumer Staples"
"KEY","Keycorp","Financials"
"KEYS","Keysight Technologies Inc Comm","None"
"KHC","Kraft Heinz CO","Consumer Staples"
"KIM","Kimco Realty Corp","Real Estate"
"KLAC","K L A-Tencor Corp","Information Technology"
"KMB","Kimberly-Clark Corp","Consumer Staples"
"KMI","Kinder Morgan","Energy"
"KMX","Carmax Inc","Consumer Discretionary"
"KO","Coca-Cola Company","Consumer Staples"
"KR","Kroger Company","Consumer Staples"
"KSS","Kohl's Corp","Consumer Discretionary"
"KSU","Kansas City Southern","Industrials"
"L","Loews Corp","Financials"
"LB","L Brands Inc","Consumer Discretionary"
"LDOS","Leidos Holdings Inc","None"
"LEG","Leggett & Platt Inc","Consumer Discretionary"
"LEN","Lennar Corp","Consumer Discretionary"
"LH","Laboratory Corp of America Holdings","Health Care"
"LHX","L3Harris Technologies Inc.","None"
"LIN","Linde Plc","None"
"LKQ","LKQ Corp","Consumer Discretionary"
"LLY","Eli Lilly and Company","Health Care"
"LMT","Lockheed Martin Corp","Industrials"
"LNC","Lincoln National Corp","Financials"
"LNT","Alliant Energy Corp","Utilities"
"LOW","Lowe's Companies","Consumer Discretionary"
"LRCX","Lam Research Corp","Information Technology"
"LUV","Southwest Airlines Company","Industrials"
"LW","Lamb Weston Holdings Inc","None"
"LYB","Lyondellbasell Industries NV","Materials"
"M","Macy's Inc","Consumer Discretionary"
"MA","Mastercard Inc","Information Technology"
"MAA","Mid-America Apartment Communities","Real Estate"
"MAC","Macerich Company","Real Estate"
"MAR","Marriot Int Cl A","Consumer Discretionary"
"MAS","Masco Corp","Industrials"
"MCD","McDonald's Corp","Consumer Discretionary"
"MCHP","Microchip Technology","Information Technology"
"MCK","Mckesson Corp","Health Care"
"MCO","Moody's Corp","Financials"
"MDLZ","Mondelez Intl Inc","Consumer Staples"
"MDT","Medtronic Inc","Health Care"
"MET","Metlife Inc","Financials"
"MGM","MGM Resorts International","Consumer Discretionary"
"MHK","Mohawk Industries","Consumer Discretionary"
"MKC","Mccormick & Company Inc","Consumer Staples"
"MKTX","Marketaxess Holdings","None"
"MLM","Martin Marietta Materials","Materials"
"MMC","Marsh & Mclennan Companies","Financials"
"MMM","3M Company","Industrials"
"MNST","Monster Beverage Cp","Consumer Staples"
"MO","Altria Group","Consumer Staples"
"MOS","Mosaic Company","Materials"
"MPC","Marathon Petroleum Corp","Energy"
"MRK","Merck & Company","Health Care"
"MRO","Marathon Oil Corp","Energy"
"MS","Morgan Stanley","Financials"
"MSCI","MSCI Inc","None"
"MSFT","Microsoft Corp","Information Technology"
"MSI","Motorola Solutions","Information Technology"
"MTB","M&T Bank Corp","Financials"
"MTD","Mettler-Toledo International","Health Care"
"MU","Micron Technology","Information Technology"
"MXIM","Maxim Integrated","None"
"MYL","Mylan NV Ord Shs","Health Care"
"NBL","Noble Energy Inc","Energy"
"NCLH","Norwegian Cruise Ord","Consumer Discretionary"
"NDAQ","Nasdaq Inc","Financials"
"NEE","Nextera Energy","Utilities"
"NEM","Newmont Mining Corp","Materials"
"NFLX","Netflix Inc","Information Technology"
"NI","NiSource Inc","Utilities"
"NKE","Nike Inc","Consumer Discretionary"
"NKTR","Nektar Therapeutics","Health Care"
"NLSN","Nielsen Holdings Plc","Industrials"
"NOC","Northrop Grumman Corp","Industrials"
"NOV","National-Oilwell","Energy"
"NRG","NRG Energy","Utilities"
"NSC","Norfolk Southern Corp","Industrials"
"NTAP","Netapp Inc","Information Technology"
"NTRS","Northern Trust Corp","Financials"
"NUE","Nucor Corp","Materials"
"NVDA","Nvidia Corp","Information Technology"
"NWL","Newell Rubbermaid Inc","Consumer Discretionary"
"NWS","News Cp Cl B","Consumer Discretionary"
"NWSA","News Cp Cl A","Consumer Discretionary"
"O","Realty Income Corp","Real Estate"
"OKE","Oneok Inc","Energy"
"OMC","Omnicom Group Inc","Consumer Discretionary"
"ORCL","Oracle Corp","Information Technology"
"ORLY","O'Reilly Automotive","Consumer Discretionary"
"OXY","Occidental Petroleum Corp","Energy"
"PAYX","Paychex Inc","Information Technology"
"PBCT","People's United Finl","Financials"
"PCAR","Paccar Inc","Industrials"
"PEG","Public Service Enterprise Group Inc","Utilities"
"PEP","Pepsico Inc","Consumer Staples"
"PFE","Pfizer Inc","Health Care"
"PFG","Principal Financial Group Inc","Financials"
"PG","Procter & Gamble Company","Consumer Staples"
"PGR","Progressive Corp","Financials"
"PH","Parker-Hannifin Corp","Industrials"
"PHM","Pultegroup","Consumer Discretionary"
"PKG","Packaging Corp of America","Materials"
"PKI","Perkinelmer","Health Care"
"PLD","Prologis Inc","Real Estate"
"PM","Philip Morris International Inc","Consumer Staples"
"PNC","PNC Bank","Financials"
"PNR","Pentair Ltd","Industrials"
"PNW","Pinnacle West Capital Corp","Utilities"
"PPG","PPG Industries","Materials"
"PPL","PPL Corp","Utilities"
"PRGO","Perrigo Company","Health Care"
"PRU","Prudential Financial Inc","Financials"
"PSA","Public Storage","Real Estate"
"PSX","Phillips 66","Energy"
"PVH","Phillips-Van Heusen Corp","Consumer Discretionary"
"PWR","Quanta Services","Industrials"
"PXD","Pioneer Natural Resources CO","Energy"
"PYPL","Paypal Holdings","Information Technology"
"QCOM","Qualcomm Inc","Information Technology"
"QRVO","Qorvo Inc","Information Technology"
"RCL","Royal Caribbean Cruises Ltd","Consumer Discretionary"
"RE","Everest Re Group","Financials"
"REG","Regency Centers Corp","Real Estate"
"REGN","Regeneron Pharmaceuticals","Health Care"
"RF","Regions Financial Corp","Financials"
"RHI","Robert Half International Inc","Industrials"
"RJF","Raymond James Financial","Financials"
"RL","Ralph Lauren Corp","Consumer Discretionary"
"RMD","Resmed Inc","Health Care"
"ROK","Rockwell Automation Inc","Industrials"
"ROL","Rollins Inc","None"
"ROP","Roper Industries","Industrials"
"ROST","Ross Stores Inc","Consumer Discretionary"
"RSG","Republic Services","Industrials"
"RTN","Raytheon Company","Industrials"
"SBAC","SBA Communications","Real Estate"
"SBUX","Starbucks Corp","Consumer Discretionary"
"SCHW","The Charles Schwab Corp","Financials"
"SEE","Sealed Air Corp","Materials"
"SHW","Sherwin-Williams Company","Materials"
"SIVB","Svb Financial Group","Financials"
"SJM","J.M. Smucker Company","Consumer Staples"
"SLB","Schlumberger N.V.","Energy"
"SLG","SL Green Realty Corp","Real Estate"
"SNA","Snap-On Inc","Consumer Discretionary"
"SNPS","Synopsys Inc","Information Technology"
"SO","Southern Company","Utilities"
"SPG","Simon Property Group","Real Estate"
"SPGI","S&P Global Inc","Financials"
"SRE","Sempra Energy","Utilities"
"STI","Suntrust Banks","Financials"
"STT","State Street Corp","Financials"
"STX","Seagate Tech Ord Shs","Information Technology"
"STZ","Constellation Brands Inc","Consumer Staples"
"SWK","Stanley Black & Decker Inc","Consumer Discretionary"
"SWKS","Skyworks Solutions","Information Technology"
"SYF","Synchrony Financial","Financials"
"SYK","Stryker Corp","Health Care"
"SYMC","Symantec Corp","Information Technology"
"SYY","Sysco Corp","Consumer Staples"
"T","AT&T Inc","Telecommunication Services"
"TAP","Molson Coors Brewing Company","Consumer Staples"
"TDG","Transdigm Group Inc","Industrials"
"TEL","Te Connectivity Ltd","Information Technology"
"TFX","Teleflex Inc","None"
"TGT","Target Corp","Consumer Discretionary"
"TIF","Tiffany & CO","Consumer Discretionary"
"TJX","TJX Companies","Consumer Discretionary"
"TMO","Thermo Fisher Scientific Inc","Health Care"
"TMUS","T-Mobile US","None"
"TPR","Tapestry Inc","Consumer Discretionary"
"TRIP","Tripadvisor Inc","Consumer Discretionary"
"TROW","T Rowe Price Group","Financials"
"TRV","The Travelers Companies Inc","Financials"
"TSCO","Tractor Supply CO","Consumer Discretionary"
"TSN","Tyson Foods","Consumer Staples"
"TSS","Total System Services","Information Technology"
"TTWO","Take-Two Interacti","Information Technology"
"TWTR","Twitter Inc","None"
"TXN","Texas Instruments","Information Technology"
"TXT","Textron Inc","Industrials"
"UA","Under Armour Inc Cl C","Consumer Discretionary"
"UAA","Under Armour","Consumer Discretionary"
"UAL","United Continental Holdings","Industrials"
"UDR","United Dominion Realty Trust","Real Estate"
"UHS","Universal Health Services","Health Care"
"ULTA","Ulta Beauty Inc","Consumer Discretionary"
"UNH","Unitedhealth Group Inc","Health Care"
"UNM","Unumprovident Corp","Financials"
"UNP","Union Pacific Corp","Industrials"
"UPS","United Parcel Service","Industrials"
"URI","United Rentals","Industrials"
"USB","U.S. Bancorp","Financials"
"UTX","United Technologies Corp","Industrials"
"V","Visa Inc","Information Technology"
"VAR","Varian Medical Systems","Health Care"
"VFC","V.F. Corp","Consumer Discretionary"
"VIAB","Viacom Inc Cl B","Consumer Discretionary"
"VLO","Valero Energy Corp","Energy"
"VMC","Vulcan Materials Company","Materials"
"VNO","Vornado Realty Trust","Real Estate"
"VRSK","Verisk Analytics Inc","Industrials"
"VRSN","Verisign Inc","Information Technology"
"VRTX","Vertex Pharmaceutic","Health Care"
"VTR","Ventas Inc","Real Estate"
"VZ","Verizon Communications Inc","Telecommunication Services"
"WAB","Wabtec Corp","None"
"WAT","Waters Corp","Health Care"
"WBA","Walgreens Boots Alliance","Consumer Staples"
"WCG","Wellcare Group","None"
"WDC","Western Digital Cp","Information Technology"
"WEC","Wisconsin Energy Corp","Utilities"
"WELL","Welltower Inc","Real Estate"
"WFC","Wells Fargo & Company","Financials"
"WHR","Whirlpool Corp","Consumer Discretionary"
"WLTW","Willis Towers Wts","Financials"
"WM","Waste Management","Industrials"
"WMB","Williams Companies","Energy"
"WMT","Wal-Mart Stores","Consumer Staples"
"WRK","Westrock Company","Materials"
"WU","Western Union Company","Information Technology"
"WY","Weyerhaeuser Company","Real Estate"
"WYNN","Wynn Resorts Ltd","Consumer Discretionary"
"XEC","Cimarex Energy CO","Energy"
"XEL","XCEL Energy Inc","Utilities"
"XLNX","Xilinx Inc","Information Technology"
"XOM","Exxon Mobil Corp","Energy"
"XRAY","Dentsply Sirona Inc","Health Care"
"XRX","Xerox Corp","Information Technology"
"XYL","Xylem Inc","Industrials"
"YUM","Yum! Brands","Consumer Discretionary"
"ZBH","Zimmer Biomet Holdings","Health Care"
"ZION","Zions Bancorporation","Financials"
"ZTS","Zoetis Inc Cl A","None"
